"1p",0,0,0,0
"2p",0.63,0,0,0
"3p",12.23,0,0.42,100
"4p",0,0,0,0
"5p",0,0,0,0
"6p",0,0,0,6.04
"7p",100,0,0,0
"8p",99.61,0,0,0
"9p",0,0,0,82.95
"10p",0,0,0,0
"11p",0,0,0,0
"12p",0,0,0,99.63
"16p",0,0,0,7.43
"17p",0,0,0,0
"18p",0,0,0,0
"19p",0,0,0,0
"20p",100,0,1.16,0
"21p",0,0,85.12,0
"Yp",0,0,0,0
"Xp",4.3,0,0,0
"1q",2.05,0,0.34,0
"2q",18.76,0,5.67,0
"3q",0,0,0,100
"4q",0.39,0,0,0
"5q",0,0,0.24,0
"6q",0,0,0.37,0
"7q",100,0,0,0
"8q",99.53,0,0,0
"9q",0,0,0,96.12
"10q",0,0,0,3.18
"11q",0,0,0,0
"12q",0,0,0.51,0
"13q",1.16,0,0,0
"14q",0,0,0.37,0
"15q",0,0,0,0
"16q",0,0,0,0
"17q",0,0,0,0
"18q",0,0,0,0
"19q",0,0,0,0
"20q",100,0,0,0
"21q",0,0,100,0
"22q",1.11,0,0,10.22
"Yq",0,0,0,0
"Xq",0,0,0,0
"1p",0,0,0,0
"2p",0.63,0,0,0
"3p",12.23,0,0.42,100
"4p",0,0,0,0
"5p",0,0,0,0
"6p",0,0,0,6.04
"7p",100,0,0,0
"8p",99.61,0,0,0
"9p",0,0,0,82.95
"10p",0,0,0,0
"11p",0,0,0,0
"12p",0,0,0,99.63
"16p",0,0,0,7.43
"17p",0,0,0,0
"18p",0,0,0,0
"19p",0,0,0,0
"20p",100,0,1.16,0
"21p",0,0,85.12,0
"Yp",0,0,0,0
"Xp",4.3,0,0,0
"1q",2.05,0,0.34,0
"2q",18.76,0,5.67,0
"3q",0,0,0,100
"4q",0.39,0,0,0
"5q",0,0,0.24,0
"6q",0,0,0.37,0
"7q",100,0,0,0
"8q",99.53,0,0,0
"9q",0,0,0,96.12
"10q",0,0,0,3.18
"11q",0,0,0,0
"12q",0,0,0.51,0
"13q",1.16,0,0,0
"14q",0,0,0.37,0
"15q",0,0,0,0
"16q",0,0,0,0
"17q",0,0,0,0
"18q",0,0,0,0
"19q",0,0,0,0
"20q",100,0,0,0
"21q",0,0,100,0
"22q",1.11,0,0,10.22
"Yq",0,0,0,0
"Xq",0,0,0,0
"1p",0,0,100,0
"2p",0,0,0,0
"3p",0,0,44.44,0
"4p",0,0,99.89,0
"5p",99.94,0,0,0
"6p",0,0,100,0
"7p",0,0,100,0
"8p",0,0,18.64,0
"9p",0,0,82.95,0
"10p",0,0,100,0
"11p",0,0,1.87,100
"12p",0,0,99.7,0
"16p",0,0,91.04,0
"17p",0,0,100,0
"18p",0,0,0,0
"19p",0,0,100,0
"20p",0,0,0,0
"21p",0,0,0,0
"Yp",0,0,0,0
"Xp",0,0,0,0
"1q",0,0,100,0
"2q",0,0,0,0
"3q",0,0,41.83,0
"4q",0,0,99.92,0
"5q",99.91,0,0,0
"6q",0,0,100,0
"7q",0,0,58.24,0
"8q",0,0,1.11,0
"9q",0,0,0.62,0
"10q",0,0,100,0
"11q",0,0,96.45,0
"12q",0,0,100,0
"13q",0,0,99.69,0
"14q",0,0,98.92,0
"15q",0,0,99.79,0
"16q",0,0,99.2,0
"17q",0,0,21.13,0
"18q",0,0,1.34,0
"19q",0,0,100,0
"20q",5.55,0,0.91,0
"21q",0,0,0,0
"22q",1.67,0,0,0
"Yq",32.14,0,0,0
"Xq",0,0,0,0
"1p",0,0,0,0
"2p",0,0,0,0
"3p",0,0,0,6.32
"4p",0,0,0,0
"5p",0,0,0,0
"6p",0,0,0,0
"7p",0,0,0,0
"8p",19.33,0,0,0
"9p",0,0,0,0
"10p",0,0,0,0
"11p",0,0,0,0
"12p",0,0,0,0
"16p",0,0,0,9.66
"17p",0,0,0,0
"18p",0,0,0,0
"19p",0,0,0,0
"20p",0,0,0,0
"21p",0,0,0,0
"Yp",0,0,0,0
"Xp",0,0,0,0
"1q",0,0,0,0
"2q",0,0,0.35,0
"3q",0,0,0,0
"4q",0,0,0,0
"5q",0,0,0.76,3.76
"6q",0,0,0,0
"7q",0,0,0,0
"8q",0,0,0,0
"9q",0,0,0,0
"10q",0,0,0,0
"11q",0,0,0,0
"12q",0,0,0,0
"13q",0,0,0,0
"14q",0,0,0.42,0
"15q",0,0,0,0
"16q",0,0,0,0
"17q",0,0,0,0
"18q",0,0,0,0
"19q",0,0,0,0
"20q",0,0,0,0
"21q",0,0,0,0
"22q",0,0,0,0
"Yq",0,0,0,0
"Xq",0,0,0,0
"1p",12.68,0,31.23,2.35
"2p",0.69,0,3.66,4.12
"3p",0,0,0.37,3.05
"4p",8.65,0,0,0
"5p",1.09,0,0,0
"6p",0,0,4.57,0
"7p",0,0,0,4.97
"8p",0.73,0,2.2,6.29
"9p",0,0,25.08,0
"10p",51.03,0,4.17,0
"11p",3.26,0,0.89,7.86
"12p",98.86,0,0,0
"16p",95.07,0,0,11.54
"17p",0,0,31.34,0
"18p",14.91,0,21.31,0
"19p",0,0,0,0
"20p",0,0,0,0
"21p",0,0,0,0
"Yp",0,0,0,0
"Xp",8.94,0,0,4.77
"1q",0,0,0,3.17
"2q",0.49,0,2.45,1.88
"3q",0,0,1.92,0
"4q",0,0,0,0
"5q",0,0,3.03,2.85
"6q",1.02,0,12.81,0
"7q",12.61,0,16.96,16.69
"8q",16.93,0,0,0
"9q",2.08,0,0.68,3.64
"10q",0.79,0,17.6,2.85
"11q",0.54,0,0.43,3.85
"12q",99.44,0,0,0
"13q",0,0,32.67,2.92
"14q",0.55,0,7.21,0
"15q",0,0,3.54,5.26
"16q",0,0,0,0
"17q",0.55,0,0,9.98
"18q",0,0,4.32,0
"19q",0,0,62.68,0
"20q",95.95,0,12.24,0
"21q",1.03,0,0,0
"22q",0,0,0,0
