sample_id	CHROMOSOME	Arm	GAIN	LOSS	LOH
CQE1	11	q	0	0	0
CQE1	12	q	0	0	0
CQE1	13	q	2	0	0
CQE1	14	q	0	0	0
CQE1	15	q	0	0	0
CQE1	16	q	0	0	0
CQE1	17	q	0	0	0
CQE1	18	q	0	0	0
CQE1	19	q	1	0	0
CQE1	20	q	99	0	0
CQE1	21	q	0	99	0
CQE1	22	q	1	0	10
CQE1	Y	q	0	0	0
CQE1	X	q	0	0	0
D17002507_3_adjusted	1	p	0	98	0
D17002507_3_adjusted	2	p	0	0	0
D17002507_3_adjusted	3	p	0	15	0
D17002507_3_adjusted	4	p	0	97	0
D17002507_3_adjusted	5	p	94	0	0
D17002507_3_adjusted	6	p	0	99	0
D17002507_3_adjusted	7	p	0	92	0
D17002507_3_adjusted	8	p	0	19	0
D17002507_3_adjusted	9	p	0	82	0
D17002507_3_adjusted	10	p	0	99	0
D17002507_3_adjusted	11	p	0	1	99
D17002507_3_adjusted	12	p	0	99	0
D17002507_3_adjusted	16	p	0	91	0
D17002507_3_adjusted	17	p	0	99	0
D17002507_3_adjusted	18	p	0	0	0
D17002507_3_adjusted	19	p	0	74	0
D17002507_3_adjusted	20	p	0	0	0
D17002507_3_adjusted	21	p	0	0	0
D17002507_3_adjusted	Y	p	0	0	0
D17002507_3_adjusted	X	p	0	0	0
D17002507_3_adjusted	1	q	0	98	0
D17002507_3_adjusted	2	q	0	0	0
D17002507_3_adjusted	3	q	0	17	0
D17002507_3_adjusted	4	q	0	99	0
D17002507_3_adjusted	5	q	99	0	0
D17002507_3_adjusted	6	q	0	99	0
D17002507_3_adjusted	7	q	0	44	0
D17002507_3_adjusted	8	q	0	1	0
D17002507_3_adjusted	9	q	0	0	0
D17002507_3_adjusted	10	q	0	99	0
D17002507_3_adjusted	11	q	0	96	0
D17002507_3_adjusted	12	q	0	99	0
D17002507_3_adjusted	13	q	0	99	0
D17002507_3_adjusted	14	q	0	98	0
D17002507_3_adjusted	15	q	0	97	0
D17002507_3_adjusted	16	q	0	98	0
D17002507_3_adjusted	17	q	0	21	0
D17002507_3_adjusted	18	q	0	1	0
D17002507_3_adjusted	19	q	0	99	0
D17002507_3_adjusted	20	q	5	0	0
D17002507_3_adjusted	21	q	0	0	0
D17002507_3_adjusted	22	q	2	0	0
D17002507_3_adjusted	Y	q	32	0	0
D17002507_3_adjusted	X	q	0	0	0
F16000592	1	p	0	0	0
F16000592	2	p	0	0	0
F16000592	3	p	0	0	6
F16000592	4	p	0	0	0
